seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
10081,True,synthetic-010081,moderate,27,converged,False,20.0,0.3470538320346882,0.9826473083982655,0.7930103437378049,1.2618635268405645,1.07033838874612
10082,True,synthetic-010082,moderate,7,acceptable,True,20.0,0.22638711602347328,0.9886806441988263,0.8555296969327851,1.1219600262052825,0.8348700834192471
10083,True,synthetic-010083,moderate,33,converged,False,20.0,0.32750565636903023,0.9836247171815484,0.8083579102258429,1.1619942888915582,1.1792603869184797
10084,True,synthetic-010084,moderate,70,step_limit,False,20.0,0.2644154665773645,0.9867792266711317,0.7785569319598563,1.2618532620159912,0.8980170767372964
10085,True,synthetic-010085,moderate,7,acceptable,True,20.0,0.21159400935096742,0.9894202995324516,0.9019082306576381,1.1092514899922266,0.9165100878959027
10086,True,synthetic-010086,hard,17,converged,False,20.0,0.5724119434182763,0.9713794028290861,0.7355992419757335,1.2636805231646913,1.3417528137636412
10087,True,synthetic-010087,moderate,20,converged,False,20.0,0.23706136837316344,0.9881469315813419,0.8215924954889617,1.1831152770514282,1.1513624877484863
10088,True,synthetic-010088,moderate,42,converged,False,20.0,0.46161271360475553,0.9769193643197622,0.75776351453648,1.2176774378420376,1.245499808190233
10089,True,synthetic-010089,moderate,41,converged,False,20.0,0.33458087656070995,0.9832709561719645,0.8262733677463423,1.204959976127078,1.1245077432430037
10090,True,synthetic-010090,moderate,70,step_limit,False,20.0,0.29725403530673916,0.985137298234663,0.7850848217473957,1.2363903269275704,1.1767438537897783
10091,True,synthetic-010091,moderate,34,converged,False,20.0,0.2820066666699609,0.985899666666502,0.7756323767112377,1.3222091942229495,0.8970266406819244
10092,True,synthetic-010092,hard,54,converged,False,20.0,0.5115541398497214,0.9744222930075139,0.7167213974923827,1.2724078895201758,1.1045587358742084
10093,True,synthetic-010093,hard,26,converged,False,20.0,0.5982440056083803,0.970087799719581,0.7337033032509664,1.1465628808892392,1.079629798815203
10094,True,synthetic-010094,moderate,29,converged,False,20.0,0.3881399304218467,0.9805930034789077,0.7806801956385135,1.222665240118975,1.0079275921907003
10095,True,synthetic-010095,moderate,17,converged,False,20.0,0.412939784088238,0.9793530107955881,0.780233430222535,1.2470797788508445,1.1227552211694847
10096,True,synthetic-010096,moderate,43,converged,False,20.0,0.18311166773097431,0.9908444166134514,0.8296937788468364,1.2765160574480288,0.7805557286738444
10097,True,synthetic-010097,hard,29,converged,False,20.0,0.45057608604457794,0.9774711956977711,0.7500267961501861,1.1022638197380672,1.1869162811141
10098,True,synthetic-010098,hard,70,step_limit,False,20.0,0.7265671487391104,0.9636716425630445,0.70509228326801,1.167542123265593,1.2735866336585375
10099,True,synthetic-010099,moderate,17,acceptable,True,20.0,0.22579387421247685,0.9887103062893761,0.8748745587740168,1.2414699973418215,0.946498300125088
