training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,action_sequence,stopping_reason,target_d95_initial,target_d95_final,target_d02_initial,target_d02_final,oar_0_mean_initial,oar_0_mean_final,oar_1_mean_initial,oar_1_mean_final,oar_2_mean_initial,oar_2_mean_final,final_beam_angles_degrees,final_target_priority,final_hotspot_priority,final_oar_priorities
5,endpoint,prostate3d-107906,107906,moderate,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.3813990354537964,1.0179286003112793,1.640973448753357,1.21709144115448,0.2606475055217743,0.20069481432437897,0.49839162826538086,0.35615503787994385,0.661674976348877,0.33532941341400146,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-108040,108040,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.2491246461868286,0.9723785519599915,1.5991321802139282,1.1546887159347534,0.3261222243309021,0.22831647098064423,0.5594726204872131,0.382123738527298,0.6849507093429565,0.3022385835647583,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-108121,108121,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.375916600227356,0.9975370764732361,1.6960526704788208,1.1967904567718506,0.2629142105579376,0.18880054354667664,0.495799720287323,0.3267410099506378,0.6210229992866516,0.2678135335445404,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-108267,108267,easy,True,0.0,1,add_beam_8,acceptable,1.357412338256836,0.9632648229598999,1.7294690608978271,1.2434886693954468,0.2268117368221283,0.15880705416202545,0.4705474376678467,0.33921340107917786,0.6581134796142578,0.3337721526622772,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-108268,108268,hard,False,0.43105261896383307,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|decrease_oar_2_priority|decrease_oar_2_priority,policy_step_limit,0.8803413510322571,0.9640269875526428,1.6391699314117432,1.1291322708129883,0.474276065826416,0.5787373781204224,0.652890145778656,0.48813867568969727,0.5263217091560364,0.37942084670066833,0|90|180|240,1.0,25.0,1.0|1.0|0.5
5,endpoint,prostate3d-108443,108443,hard,False,0.2833920057975885,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|decrease_oar_2_priority|decrease_oar_2_priority,policy_step_limit,0.9078863859176636,0.9598791003227234,1.5487905740737915,1.0976508855819702,0.42024877667427063,0.48602569103240967,0.7222044467926025,0.5201154947280884,0.6000688672065735,0.37017765641212463,0|90|180|240,1.0,25.0,1.0|1.0|0.5
5,endpoint,prostate3d-108746,108746,moderate,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.2914122343063354,0.943955659866333,1.6494523286819458,1.1586414575576782,0.24733750522136688,0.21400338411331177,0.5006847381591797,0.35784515738487244,0.5928937196731567,0.21916832029819489,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-108813,108813,hard,False,0.22304192456332128,10,remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority|decrease_oar_2_priority,policy_step_limit,1.0147972106933594,0.9312286376953125,1.60005521774292,1.144382357597351,0.4904938042163849,0.5507340431213379,0.5231694579124451,0.47329890727996826,0.6174651980400085,0.31641584634780884,0|90|150|180,1.0,25.0,1.0|1.0|0.5
5,endpoint,prostate3d-108940,108940,moderate,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.3770698308944702,1.0047374963760376,1.6741076707839966,1.2165067195892334,0.26882460713386536,0.19683140516281128,0.6073737740516663,0.41243836283683777,0.6544647812843323,0.31698521971702576,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-108948,108948,hard,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.1415057182312012,0.9733418226242065,1.541676640510559,1.219570279121399,0.5264319181442261,0.4006311297416687,0.5979017615318298,0.41086792945861816,0.6273865699768066,0.33771809935569763,0|90|180|240,1.0,1.75,1.0|1.0|1.0
