condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss,diagnostic_action_cross_entropy,diagnostic_action_accuracy
trajectory,0,59,0.6397372484207153,0.75,0.05776279486370295,5.25,0.21466517448425293,-1.2222537994384766,1.662883996963501,1.610756516456604,0.5362318754196167
trajectory,0,60,0.6633623838424683,0.75,0.03163761418034239,5.5,0.21338143944740295,-0.41948509216308594,1.610756516456604,1.5452880859375,0.5306577682495117
endpoint,1,1,0.2695602774620056,0.5,0.1604397554241883,7.0,0.21321742236614227,-5.432350158691406,0.0,3.4010846614837646,0.06800445914268494
endpoint,1,2,0.9700000286102295,1.0,0.0,3.0,0.21485434472560883,-0.16373102366924286,0.0,3.425997257232666,0.05128205195069313
endpoint,1,3,-0.13088321685791016,0.25,0.2808831923476008,10.0,0.21661071479320526,-0.29625797271728516,0.0,3.4720029830932617,0.037904124706983566
endpoint,1,4,0.3824569284915924,0.5,0.04254307937727565,7.5,0.21693553030490875,-4.153556823730469,0.0,3.4908883571624756,0.031215162947773933
endpoint,1,5,0.47277122735977173,0.75,0.21722877081755815,6.0,0.2152654528617859,-5.78408145904541,0.0,3.513723850250244,0.023411372676491737
endpoint,1,6,0.5226650238037109,0.75,0.1573349662935914,7.0,0.2153831124305725,-4.655808448791504,0.0,3.5546605587005615,0.023411372676491737
endpoint,1,7,0.16568425297737122,0.5,0.2543157254031415,8.0,0.21731778979301453,-5.113133907318115,0.0,3.60440731048584,0.02118171751499176
endpoint,1,8,0.3553381562232971,0.5,0.06716185349207385,7.75,0.21915067732334137,-2.808654546737671,0.0,3.645446538925171,0.023411372676491737
endpoint,1,9,0.3125106692314148,0.5,0.12498932280884295,6.25,0.21974334120750427,-6.717190742492676,0.0,3.6992921829223633,0.031215162947773933
endpoint,1,10,-0.039184436202049255,0.25,0.20918443787826307,8.0,0.21903246641159058,-4.967212677001953,0.0,3.7304041385650635,0.03678929805755615
endpoint,1,11,0.5150291919708252,0.75,0.18247079022801183,5.25,0.2184923142194748,-5.829775810241699,0.0,3.7460203170776367,0.03678929805755615
endpoint,1,12,-0.0041298940777778625,0.25,0.17412990016183633,8.0,0.21839450299739838,-4.780604362487793,0.0,3.766793966293335,0.03678929805755615
endpoint,1,13,0.47395777702331543,0.75,0.22604225738362227,5.0,0.21816721558570862,-6.5307817459106445,0.0,3.8253960609436035,0.03678929805755615
endpoint,1,14,0.9825000166893005,1.0,0.0,1.75,0.21698656678199768,-0.004732513800263405,0.0,3.882335901260376,0.03678929805755615
endpoint,1,15,0.4133450388908386,0.5,0.024154960598910986,6.25,0.21618306636810303,-5.3360466957092285,0.0,3.9495856761932373,0.03678929805755615
